Route_id,Source,Destination,Route,Stops
66,Kempegowda International Airport,Indira Gandhi International Airport,BLR → BOM → IDR → GWL → DEL,3
67,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → DEL → COK → TRV → BLR,3
68,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → COK → MAA → HYD,2
69,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → NDC → HYD,1
70,Kempegowda International Airport,Indira Gandhi International Airport,BLR → BDQ → DEL,1
71,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → BOM → TRV → BLR,2
72,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → BOM → HBX → BLR,2
73,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → BDQ → DEL → HYD,2
74,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → CCU → HYD,1
75,Kempegowda International Airport,Indira Gandhi International Airport,BLR → TRV → COK → DEL,2
76,Kempegowda International Airport,Indira Gandhi International Airport,BLR → IDR → DEL,1
77,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → IXZ → MAA → BLR,2
78,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → GAU → IMF → DEL → BLR,3
79,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → GOI → PNQ → HYD,2
80,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → BLR → CCU → BBI → HYD,3
81,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → MAA → HYD,1
82,Kempegowda International Airport,Indira Gandhi International Airport,BLR → BOM → UDR → DEL,2
83,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → UDR → DEL → HYD,2
84,Kempegowda International Airport,Indira Gandhi International Airport,BLR → VGA → VTZ → DEL,2
85,Kempegowda International Airport,Indira Gandhi International Airport,BLR → HBX → BOM → BHO → DEL,3
86,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → IXA → BLR,1
87,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → RPR → VTZ → HYD,2
88,Kempegowda International Airport,Indira Gandhi International Airport,BLR → HBX → BOM → AMD → DEL,3
89,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → IDR → DEL → HYD,2
90,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → BLR → HYD,1
91,Netaji Subhash Chandra Bose International Airport,Kempegowda International Airport,CCU → IXB → DEL → BLR,2
92,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → JAI → DEL → HYD,2
93,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → VNS → DEL → HYD,2
94,Kempegowda International Airport,Indira Gandhi International Airport,BLR → HBX → BOM → NAG → DEL,3
95,Kempegowda International Airport,Indira Gandhi International Airport,BLR → BOM → IXC → DEL,2
96,Kempegowda International Airport,Indira Gandhi International Airport,BLR → CCU → BBI → HYD → VGA → DEL,4
97,Chhatrapati Shivaji International Airport,Rajiv Gandhi International Airport,BOM → BBI → HYD,1
